t,x1(t),x2(t),v1(t),v2(t),p1(t),p2(t),pg(t),F1(t),F2(t)
4.199997,6.423602,-4,2.019999,0,4.039998,0,4.039998,0.9619049,0
4.219997,6.464002,-4,2.019999,0,4.039998,0,4.039998,0.9573461,0
4.239997,6.504402,-4,2.019999,0,4.039998,0,4.039998,0.9528303,0
4.259997,6.544802,-4,2.019999,0,4.039998,0,4.039998,0.9483569,0
4.279997,6.584425,-4,1.981155,0,3.962309,0,3.962309,0.9257739,0
4.299997,6.623248,-4,1.941122,0,3.882244,0,3.882244,0.9028481,0
4.319997,6.661247,-4,1.899925,0,3.799849,0,3.799849,0.8795953,0
4.339997,6.698399,-4,1.857587,0,3.715174,0,3.715174,0.8560315,0
4.359997,6.734681,-4,1.814135,0,3.62827,0,3.62827,0.8321727,0
4.379997,6.770073,-4,1.769595,0,3.53919,0,3.53919,0.8080347,0
4.399997,6.804553,-4,1.723993,0,3.447985,0,3.447985,0.7836336,0
4.419997,6.838099,-4,1.677356,0,3.354712,0,3.354712,0.7589852,0
4.439997,6.870694,-4,1.629713,0,3.259426,0,3.259426,0.7341055,0
4.459997,6.902316,-4,1.581092,0,3.162184,0,3.162184,0.7090105,0
4.479997,6.932946,-4,1.531523,0,3.063046,0,3.063046,0.683716,0
4.499997,6.962567,-4,1.481034,0,2.962069,0,2.962069,0.658238,0
4.519997,6.99116,-4,1.429657,0,2.859315,0,2.859315,0.6325922,0
4.539997,7.018708,-4,1.377423,0,2.754845,0,2.754845,0.6067945,0
4.559997,7.045196,-4,1.324361,0,2.648723,0,2.648723,0.5808607,0
4.579997,7.070606,-4,1.270505,0,2.541011,0,2.541011,0.5548063,0
4.599997,7.094923,-4,1.215887,0,2.431775,0,2.431775,0.5286471,0
4.619997,7.118134,-4,1.16054,0,2.321079,0,2.321079,0.5023985,0
4.639997,7.140224,-4,1.104496,0,2.208991,0,2.208991,0.4760761,0
4.659997,7.16118,-4,1.047789,0,2.095578,0,2.095578,0.4496951,0
4.679996,7.180989,-4,0.9904535,0,1.980907,0,1.980907,0.423271,0
4.699996,7.19964,-4,0.9325238,0,1.865048,0,1.865048,0.3968189,0
4.719996,7.217121,-4,0.8740346,0,1.748069,0,1.748069,0.3703539,0
4.739996,7.233421,-4,0.815021,0,1.630042,0,1.630042,0.343891,0
4.759996,7.248531,-4,0.7555184,0,1.511037,0,1.511037,0.3174449,0
4.779996,7.262443,-4,0.6955624,0,1.391125,0,1.391125,0.2910305,0
4.799996,7.275146,-4,0.6351892,0,1.270378,0,1.270378,0.2646624,0
4.819996,7.286635,-4,0.5744348,0,1.14887,0,1.14887,0.2383548,0
4.839996,7.296902,-4,0.5133357,0,1.026671,0,1.026671,0.2121224,0
4.859996,7.305941,-4,0.4519286,0,0.9038573,0,0.9038573,0.185979,0
4.879996,7.313745,-4,0.3902504,0,0.7805009,0,0.7805009,0.1599388,0
4.899996,7.320312,-4,0.3283381,0,0.6566762,0,0.6566762,0.1340156,0
4.919996,7.325636,-4,0.2662287,0,0.5324575,0,0.5324575,0.1082231,0
4.939996,7.329716,-4,0.2039596,0,0.4079193,0,0.4079193,0.08257481,0
4.959996,7.332547,-4,0.1415682,0,0.2831363,0,0.2831363,0.05708398,0
4.979996,7.334129,-4,0.07909176,0,0.1581835,0,0.1581835,0.03176378,0
4.999996,7.33446,-4,0.01656791,0,0.03313581,0,0.03313581,0.006627168,0
5.019996,7.333541,-4,-0.04596589,0,-0.09193178,0,-0.09193178,-0.01831312,0
5.039996,7.331371,-4,-0.1084721,0,-0.2169442,0,-0.2169442,-0.04304452,0
5.059996,7.327953,-4,-0.1709132,0,-0.3418265,0,-0.3418265,-0.0675547,0
5.079996,7.323288,-4,-0.2332518,0,-0.4665037,0,-0.4665037,-0.09183151,0
5.099996,7.317379,-4,-0.2954505,0,-0.590901,0,-0.590901,-0.115863,0
5.119996,7.31023,-4,-0.3574719,0,-0.7149437,0,-0.7149437,-0.1396375,0
5.139996,7.301844,-4,-0.4192787,0,-0.8385575,0,-0.8385575,-0.1631436,0
5.159996,7.292227,-4,-0.4808341,0,-0.9616681,0,-0.9616681,-0.1863699,0
5.179996,7.281385,-4,-0.5421009,0,-1.084202,0,-1.084202,-0.2093055,0
5.199996,7.269325,-4,-0.6030425,0,-1.206085,0,-1.206085,-0.2319396,0
5.219996,7.256052,-4,-0.6636222,0,-1.327244,0,-1.327244,-0.2542616,0
5.239996,7.241576,-4,-0.7238038,0,-1.447608,0,-1.447608,-0.2762612,0
5.259996,7.225905,-4,-0.783551,0,-1.567102,0,-1.567102,-0.2979284,0
5.279996,7.209048,-4,-0.8428282,0,-1.685656,0,-1.685656,-0.3192533,0
5.299996,7.191016,-4,-0.9015996,0,-1.803199,0,-1.803199,-0.3402265,0
5.319996,7.17182,-4,-0.95983,0,-1.91966,0,-1.91966,-0.3608387,0
5.339996,7.15147,-4,-1.017485,0,-2.034969,0,-2.034969,-0.3810807,0
5.359996,7.12998,-4,-1.074529,0,-2.149058,0,-2.149058,-0.4009439,0
5.379996,7.107361,-4,-1.130928,0,-2.261856,0,-2.261856,-0.4204197,0
5.399996,7.083628,-4,-1.186649,0,-2.373298,0,-2.373298,-0.4394999,0
5.419996,7.058794,-4,-1.241658,0,-2.483315,0,-2.483315,-0.4581766,0
5.439996,7.032876,-4,-1.295922,0,-2.591843,0,-2.591843,-0.4764421,0
5.459996,7.005888,-4,-1.349408,0,-2.698816,0,-2.698816,-0.494289,0
5.479996,6.977846,-4,-1.402084,0,-2.804169,0,-2.804169,-0.51171,0
5.499996,6.948768,-4,-1.45392,0,-2.90784,0,-2.90784,-0.5286986,0
5.519996,6.91867,-4,-1.504883,0,-3.009766,0,-3.009766,-0.5452479,0
5.539996,6.887571,-4,-1.554943,0,-3.109886,0,-3.109886,-0.5613517,0
5.559996,6.85549,-4,-1.60407,0,-3.20814,0,-3.20814,-0.5770041,0
5.579996,6.822445,-4,-1.652235,0,-3.30447,0,-3.30447,-0.5921994,0
5.599996,6.788457,-4,-1.699408,0,-3.398817,0,-3.398817,-0.606932,0
5.619996,6.753546,-4,-1.745562,0,-3.491124,0,-3.491124,-0.6211969,0
5.639996,6.717732,-4,-1.790668,0,-3.581337,0,-3.581337,-0.6349893,0
5.659996,6.681038,-4,-1.8347,0,-3.669401,0,-3.669401,-0.6483045,0
5.679996,6.643486,-4,-1.877632,0,-3.755263,0,-3.755263,-0.6611384,0
5.699996,6.605097,-4,-1.919436,0,-3.838872,0,-3.838872,-0.6734869,0
5.719995,6.565895,-4,-1.960089,0,-3.920178,0,-3.920178,-0.6853463,0
5.739995,6.525904,-4,-1.999566,0,-3.999132,0,-3.999132,-0.6967134,0
5.759995,6.485147,-4,-2.037843,0,-4.075686,0,-4.075686,-0.7075849,0
5.779995,6.443649,-4,-2.074897,0,-4.149795,0,-4.149795,-0.7179581,0
5.799995,6.402151,-4,-2.074897,0,-4.149795,0,-4.149795,-0.7154824,0
5.819995,6.360653,-4,-2.074897,0,-4.149795,0,-4.149795,-0.7130237,0
5.839995,6.319155,-4,-2.074897,0,-4.149795,0,-4.149795,-0.7105818,0
5.859995,6.277657,-4,-2.074897,0,-4.149795,0,-4.149795,-0.7081566,0
5.879995,6.236158,-4,-2.074897,0,-4.149795,0,-4.149795,-0.705748,0
5.899995,6.19466,-4,-2.074897,0,-4.149795,0,-4.149795,-0.7033556,0
5.919995,6.153162,-4,-2.074897,0,-4.149795,0,-4.149795,-0.7009794,0
5.939995,6.111664,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6986192,0
5.959995,6.070166,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6962748,0
5.979995,6.028667,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6939461,0
5.999995,5.987169,-4,-2.074897,0,-4.149795,0,-4.149795,-0.691633,0
6.019995,5.945671,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6893352,0
6.039995,5.904173,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6870526,0
6.059995,5.862675,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6847851,0
6.079995,5.821177,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6825325,0
6.099995,5.779678,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6802948,0
6.119995,5.73818,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6780716,0
6.139995,5.696682,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6758628,0
6.159995,5.655184,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6736685,0
6.179995,5.613686,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6714883,0
6.199995,5.572187,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6693223,0
6.219995,5.530689,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6671701,0
6.239995,5.489191,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6650317,0
6.259995,5.447693,-4,-2.074897,0,-4.149795,0,-4.149795,-0.662907,0
6.279995,5.406195,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6607959,0
6.299995,5.364697,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6586981,0
6.319995,5.323198,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6566136,0
6.339995,5.2817,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6545423,0
6.359995,5.240202,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6524839,0
6.379995,5.198704,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6504385,0
6.399995,5.157206,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6484059,0
6.419995,5.115707,-4,-2.074897,0,-4.149795,0,-4.149795,-0.646386,0
6.439995,5.074209,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6443785,0
6.459995,5.032711,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6423836,0
6.479995,4.991213,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6404009,0
6.499995,4.949715,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6384305,0
6.519995,4.908216,-4,-2.074897,0,-4.149795,0,-4.149795,-0.636472,0
6.539995,4.866718,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6345257,0
6.559995,4.82522,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6325911,0
6.579995,4.783722,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6306684,0
6.599995,4.742224,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6287572,0
6.619995,4.700726,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6268577,0
6.639995,4.659227,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6249695,0
6.659995,4.617729,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6230928,0
6.679995,4.576231,-4,-2.074897,0,-4.149795,0,-4.149795,-0.6212273,0
