t,x1(t),x2(t),v1(t),v2(t),p1(t),p2(t),F1(t),F2(t)
6.619995,11.31197,-10,2.019999,0,4.039998,0,0.610272,0
6.639995,11.35237,-10,2.019999,0,4.039998,0,0.6084338,0
6.659995,11.39277,-10,2.019999,0,4.039998,0,0.6066067,0
6.679995,11.43317,-10,2.019999,0,4.039998,0,0.6047906,0
6.699995,11.47357,-10,2.019999,0,4.039998,0,0.6029852,0
6.719995,11.51396,-10,2.019999,0,4.039998,0,0.6011906,0
6.739995,11.55436,-10,2.019999,0,4.039998,0,0.5994067,0
6.759995,11.59476,-10,2.019999,0,4.039998,0,0.5976332,0
6.779994,11.63516,-10,2.019999,0,4.039998,0,0.5958703,0
6.799994,11.67556,-10,2.019999,0,4.039998,0,0.5941178,0
6.819994,11.71596,-10,2.019999,0,4.039998,0,0.5923755,0
6.839994,11.75636,-10,2.019999,0,4.039998,0,0.5906434,0
6.859994,11.79676,-10,2.019999,0,4.039998,0,0.5889214,0
6.879994,11.83716,-10,2.019999,0,4.039998,0,0.5872094,0
6.899994,11.87756,-10,2.019999,0,4.039998,0,0.5855074,0
6.919994,11.91796,-10,2.019999,0,4.039998,0,0.5838152,0
6.939994,11.95836,-10,2.019999,0,4.039998,0,0.5821327,0
6.959994,11.99876,-10,2.019999,0,4.039998,0,0.5804599,0
6.979994,12.03916,-10,2.019999,0,4.039998,0,0.5787967,0
6.999994,12.07956,-10,2.019999,0,4.039998,0,0.577143,0
7.019994,12.11996,-10,2.019999,0,4.039998,0,0.5754987,0
7.039994,12.16036,-10,2.019999,0,4.039998,0,0.5738637,0
7.059994,12.20076,-10,2.019999,0,4.039998,0,0.5722381,0
7.079994,12.24116,-10,2.019999,0,4.039998,0,0.5706216,0
7.099994,12.28156,-10,2.019999,0,4.039998,0,0.5690142,0
7.119994,12.32196,-10,2.019999,0,4.039998,0,0.5674158,0
7.139994,12.36236,-10,2.019999,0,4.039998,0,0.5658265,0
7.159994,12.40275,-10,2.019999,0,4.039998,0,0.5642459,0
