t,x(t),v(t),p(t),F(t)
28.38046,-16.17303,-1.065,-2.13,-0.07505163
28.40046,-16.19433,-1.065,-2.13,-0.07499877
28.42046,-16.21563,-1.065,-2.13,-0.07494599
28.44046,-16.23693,-1.065,-2.13,-0.07489329
28.46046,-16.25823,-1.065,-2.13,-0.07484066
28.48046,-16.27953,-1.065,-2.13,-0.0747881
28.50046,-16.30083,-1.065,-2.13,-0.07473562
28.52046,-16.32213,-1.065,-2.13,-0.07468321
28.54046,-16.34343,-1.065,-2.13,-0.07463087
28.56046,-16.36473,-1.065,-2.13,-0.07457861
28.58046,-16.38603,-1.065,-2.13,-0.07452642
28.60046,-16.40733,-1.065,-2.13,-0.0744743
28.62046,-16.42863,-1.065,-2.13,-0.07442226
28.64046,-16.44993,-1.065,-2.13,-0.07437029
28.66047,-16.47123,-1.065,-2.13,-0.07431839
28.68047,-16.49253,-1.065,-2.13,-0.07426656
28.70047,-16.51383,-1.065,-2.13,-0.07421481
28.72047,-16.53513,-1.065,-2.13,-0.07416313
28.74047,-16.55643,-1.065,-2.13,-0.07411152
28.76047,-16.57773,-1.065,-2.13,-0.07405998
28.78047,-16.59903,-1.065,-2.13,-0.07400851
28.80047,-16.62033,-1.065,-2.13,-0.07395712
28.82047,-16.64163,-1.065,-2.13,-0.0739058
28.84047,-16.66293,-1.065,-2.13,-0.07385454
28.86047,-16.68423,-1.065,-2.13,-0.07380336
28.88047,-16.70553,-1.065,-2.13,-0.07375225
28.90047,-16.72683,-1.065,-2.13,-0.07370121
28.92047,-16.74813,-1.065,-2.13,-0.07365024
28.94047,-16.76943,-1.065,-2.13,-0.07359934
28.96047,-16.79073,-1.065,-2.13,-0.07354851
28.98047,-16.81203,-1.065,-2.13,-0.07349776
29.00047,-16.83333,-1.065,-2.13,-0.07344706
29.02047,-16.85463,-1.065,-2.13,-0.07339644
29.04047,-16.87593,-1.065,-2.13,-0.0733459
29.06047,-16.89723,-1.065,-2.13,-0.07329542
29.08047,-16.91853,-1.065,-2.13,-0.07324501
29.10048,-16.93983,-1.065,-2.13,-0.07319467
29.12048,-16.96113,-1.065,-2.13,-0.0731444
29.14048,-16.98243,-1.065,-2.13,-0.0730942
29.16048,-17.00373,-1.065,-2.13,-0.07304406
29.18048,-17.02503,-1.065,-2.13,-0.07299399
29.20048,-17.04633,-1.065,-2.13,-0.072944
29.22048,-17.06763,-1.065,-2.13,-0.07289407
29.24048,-17.08893,-1.065,-2.13,-0.07284421
29.26048,-17.11023,-1.065,-2.13,-0.07279442
29.28048,-17.13153,-1.065,-2.13,-0.0727447
29.30048,-17.15283,-1.065,-2.13,-0.07269504
29.32048,-17.17413,-1.065,-2.13,-0.07264546
29.34048,-17.19543,-1.065,-2.13,-0.07259593
29.36048,-17.21673,-1.065,-2.13,-0.07254648
29.38048,-17.23803,-1.065,-2.13,-0.0724971
29.40048,-17.25933,-1.065,-2.13,-0.07244778
29.42048,-17.28063,-1.065,-2.13,-0.07239853
29.44048,-17.30193,-1.065,-2.13,-0.07234935
29.46048,-17.32323,-1.065,-2.13,-0.07230023
29.48048,-17.34453,-1.065,-2.13,-0.07225118
29.50048,-17.36583,-1.065,-2.13,-0.07220219
29.52048,-17.38713,-1.065,-2.13,-0.07215328
29.54049,-17.40843,-1.065,-2.13,-0.07210442
29.56049,-17.42973,-1.065,-2.13,-0.07205564
29.58049,-17.45103,-1.065,-2.13,-0.07200692
29.60049,-17.47233,-1.065,-2.13,-0.07195827
29.62049,-17.49363,-1.065,-2.13,-0.07190967
29.64049,-17.51493,-1.065,-2.13,-0.07186116
29.66049,-17.53623,-1.065,-2.13,-0.0718127
29.68049,-17.55753,-1.065,-2.13,-0.07176431
29.70049,-17.57883,-1.065,-2.13,-0.07171598
29.72049,-17.60013,-1.065,-2.13,-0.07166772
